TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,WaistPosition.x,WaistPosition.y,WaistPosition.z,WaistEulerAngles.x,WaistEulerAngles.y,WaistEulerAngles.z,LeftShoePosition.x,LeftShoePosition.y,LeftShoePosition.z,LeftShoeEulerAngles.x,LeftShoeEulerAngles.y,LeftShoeEulerAngles.z,RightShoePosition.x,RightShoePosition.y,RightShoePosition.z,RightShoeEulerAngles.x,RightShoeEulerAngles.y,RightShoeEulerAngles.z,LeftGripPressed,LeftTriggerPressed,LeftFootSliding,LeftFootPressed,RightGripPressed,RightTriggerPressed,RightFootSliding,RightFootPressed
0.02,1,Training,0,Shelves,Shelves,0.0762,1.68,0.4612,0,0,0,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,-0.175,-0.012,-0.001,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.34,1,Training,0,Shelves,Shelves,0.0762,1.68,0.4612,0,0,0,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,-0.175,-0.012,-0.001,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.44,1,Training,0,Shelves,Shelves,0.0762,1.68,0.4612,0,0,0,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,-0.175,-0.012,-0.001,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.5,1,Training,0,Shelves,Shelves,0.0762,1.68,0.4612,0,0,0,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,-0.175,-0.012,-0.001,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.52,1,Training,0,Shelves,Shelves,0.0762,1.68,0.4612,0,0,0,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,-0.175,-0.012,-0.001,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.56,1,Training,0,Shelves,Shelves,0.0762,1.68,0.4612,0,0,0,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,-0.175,-0.012,-0.001,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.58,1,Training,0,Shelves,Shelves,0.0762,1.68,0.4612,0,0,0,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,-0.175,-0.012,-0.001,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.62,1,Training,0,Shelves,Shelves,0.0762,1.68,0.4612,0,0,0,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,-0.175,-0.012,-0.001,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.66,1,Training,0,Shelves,Shelves,0.0762,1.68,0.4612,0,0,0,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,-0.175,-0.012,-0.001,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.68,1,Training,0,Shelves,Shelves,0.0762,1.68,0.4612,0,0,0,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,-0.175,-0.012,-0.001,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
